Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,No,Non-Travel,1052,Sales,6,Bachelor’s Degree,Medical,Very High Satisfaction,Female,57,Moderate Involvement,Mid Level,Sales Executive,Very High Satisfaction,Single,8865,16840,6,No,12,Excellent Performance,Very High Satisfaction,0,23,2,Better Balance,19,7,12,8
54,No,Travel_Rarely,1147,Sales,3,Bachelor’s Degree,Marketing,Very High Satisfaction,Female,52,High Involvement,Junior Level,Sales Executive,Low Satisfaction,Married,5940,17011,2,No,14,Excellent Performance,Very High Satisfaction,1,16,4,Better Balance,6,2,0,5
36,No,Travel_Rarely,1396,Research & Development,5,College Graduate,Life Sciences,Very High Satisfaction,Male,62,High Involvement,Junior Level,Laboratory Technician,Moderate Satisfaction,Single,5914,9945,8,No,16,Excellent Performance,Very High Satisfaction,0,16,3,Excellent Balance,13,11,3,7
33,No,Travel_Rarely,147,Research & Development,4,Master’s Degree,Medical,High Satisfaction,Female,47,Moderate Involvement,Entry Level,Research Scientist,Moderate Satisfaction,Married,2622,13248,6,No,21,Outstanding Performance,Very High Satisfaction,0,7,3,Better Balance,3,2,1,1
37,No,Travel_Frequently,663,Research & Development,11,Bachelor’s Degree,Other,Moderate Satisfaction,Male,47,High Involvement,Mid Level,Research Director,Very High Satisfaction,Divorced,12185,10056,1,Yes,14,Excellent Performance,High Satisfaction,3,10,1,Better Balance,10,8,0,7
38,No,Travel_Rarely,119,Sales,3,Bachelor’s Degree,Life Sciences,Low Satisfaction,Male,76,High Involvement,Mid Level,Sales Executive,High Satisfaction,Divorced,10609,9647,0,No,12,Excellent Performance,High Satisfaction,2,17,6,Good Balance,16,10,5,13
31,No,Non-Travel,979,Research & Development,1,Master’s Degree,Medical,High Satisfaction,Male,90,Low Involvement,Junior Level,Manufacturing Director,High Satisfaction,Married,4345,4381,0,No,12,Excellent Performance,Very High Satisfaction,1,6,2,Better Balance,5,4,1,4
59,No,Travel_Rarely,142,Research & Development,3,Bachelor’s Degree,Life Sciences,High Satisfaction,Male,70,Moderate Involvement,Entry Level,Research Scientist,Very High Satisfaction,Married,2177,8456,3,No,17,Excellent Performance,Low Satisfaction,1,7,6,Better Balance,1,0,0,0
37,No,Travel_Frequently,319,Sales,4,Master’s Degree,Marketing,Low Satisfaction,Male,41,High Involvement,Entry Level,Sales Representative,Very High Satisfaction,Divorced,2793,2539,4,No,17,Excellent Performance,High Satisfaction,1,13,2,Better Balance,9,8,5,8
29,No,Travel_Frequently,1413,Sales,1,High School or Below,Medical,Moderate Satisfaction,Female,42,High Involvement,Mid Level,Sales Executive,Very High Satisfaction,Married,7918,6599,1,No,14,Excellent Performance,Very High Satisfaction,1,11,5,Better Balance,11,10,4,1
35,No,Travel_Frequently,944,Sales,1,Bachelor’s Degree,Marketing,High Satisfaction,Female,92,High Involvement,Mid Level,Sales Executive,High Satisfaction,Single,8789,9096,1,No,14,Excellent Performance,Low Satisfaction,0,10,3,Excellent Balance,10,7,0,8
29,Yes,Travel_Rarely,896,Research & Development,18,High School or Below,Medical,High Satisfaction,Male,86,Moderate Involvement,Entry Level,Research Scientist,Very High Satisfaction,Single,2389,14961,1,Yes,13,Excellent Performance,High Satisfaction,0,4,3,Good Balance,4,3,0,1
52,No,Travel_Rarely,1323,Research & Development,2,Bachelor’s Degree,Life Sciences,High Satisfaction,Female,89,Moderate Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Single,3212,3300,7,No,15,Excellent Performance,Moderate Satisfaction,0,6,3,Good Balance,2,2,2,2
42,No,Travel_Rarely,532,Research & Development,4,College Graduate,Technical Degree,High Satisfaction,Male,58,High Involvement,Executive Level,Manager,Very High Satisfaction,Married,19232,4933,1,No,11,Excellent Performance,Very High Satisfaction,0,22,3,Better Balance,22,17,11,15
59,No,Travel_Rarely,818,Human Resources,6,College Graduate,Medical,Moderate Satisfaction,Male,52,High Involvement,Entry Level,Human Resources,High Satisfaction,Married,2267,25657,8,No,17,Excellent Performance,Very High Satisfaction,0,7,2,Good Balance,2,2,2,2
50,No,Travel_Rarely,854,Sales,1,Master’s Degree,Medical,Very High Satisfaction,Female,68,High Involvement,Executive Level,Manager,Very High Satisfaction,Divorced,19517,24118,3,No,11,Excellent Performance,High Satisfaction,1,32,3,Good Balance,7,0,0,6
33,Yes,Travel_Rarely,813,Research & Development,14,Bachelor’s Degree,Medical,High Satisfaction,Male,58,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Married,2436,22149,5,Yes,13,Excellent Performance,High Satisfaction,1,8,2,Poor Balance,5,4,0,4
43,No,Travel_Rarely,1034,Sales,16,Bachelor’s Degree,Marketing,Very High Satisfaction,Female,80,High Involvement,Senior Level,Manager,Very High Satisfaction,Married,16064,7744,5,Yes,22,Outstanding Performance,High Satisfaction,1,22,3,Better Balance,17,13,1,9
33,Yes,Travel_Rarely,465,Research & Development,2,College Graduate,Life Sciences,Low Satisfaction,Female,39,High Involvement,Entry Level,Laboratory Technician,Low Satisfaction,Married,2707,21509,7,No,20,Outstanding Performance,Low Satisfaction,0,13,3,Excellent Balance,9,7,1,7
52,No,Non-Travel,771,Sales,2,Master’s Degree,Life Sciences,Low Satisfaction,Male,79,Moderate Involvement,Executive Level,Manager,High Satisfaction,Single,19068,21030,1,Yes,18,Excellent Performance,Very High Satisfaction,0,33,2,Excellent Balance,33,7,15,12
32,No,Travel_Rarely,1401,Sales,4,College Graduate,Life Sciences,High Satisfaction,Female,56,High Involvement,Entry Level,Sales Representative,Moderate Satisfaction,Married,3931,20990,2,No,11,Excellent Performance,Low Satisfaction,1,6,5,Better Balance,4,3,1,2
32,Yes,Travel_Rarely,515,Research & Development,1,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,62,Moderate Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,3730,9571,0,Yes,14,Excellent Performance,Very High Satisfaction,0,4,2,Poor Balance,3,2,1,2
39,No,Travel_Rarely,1431,Research & Development,1,Master’s Degree,Medical,High Satisfaction,Female,96,High Involvement,Entry Level,Laboratory Technician,High Satisfaction,Divorced,2232,15417,7,No,14,Excellent Performance,High Satisfaction,3,7,1,Better Balance,3,2,1,2
32,No,Non-Travel,976,Sales,26,Master’s Degree,Marketing,High Satisfaction,Male,100,High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Married,4465,12069,0,No,18,Excellent Performance,Low Satisfaction,0,4,2,Better Balance,3,2,2,2
41,No,Travel_Rarely,1411,Research & Development,19,College Graduate,Life Sciences,High Satisfaction,Male,36,High Involvement,Junior Level,Research Scientist,Low Satisfaction,Divorced,3072,19877,2,No,16,Excellent Performance,Low Satisfaction,2,17,2,Good Balance,1,0,0,0
40,No,Travel_Rarely,1300,Research & Development,24,College Graduate,Technical Degree,Low Satisfaction,Male,62,High Involvement,Junior Level,Research Scientist,Very High Satisfaction,Divorced,3319,24447,1,No,17,Excellent Performance,Low Satisfaction,2,9,3,Better Balance,9,8,4,7
45,No,Travel_Rarely,252,Research & Development,1,Bachelor’s Degree,Other,High Satisfaction,Male,70,Very High Involvement,Executive Level,Manager,Very High Satisfaction,Married,19202,15970,0,No,11,Excellent Performance,High Satisfaction,1,25,2,Better Balance,24,0,1,7
31,No,Travel_Frequently,1327,Research & Development,3,Master’s Degree,Medical,Moderate Satisfaction,Male,73,High Involvement,Mid Level,Research Director,High Satisfaction,Divorced,13675,13523,9,No,12,Excellent Performance,Low Satisfaction,1,9,3,Better Balance,2,2,2,2
33,No,Travel_Rarely,832,Research & Development,5,Master’s Degree,Life Sciences,High Satisfaction,Female,63,Moderate Involvement,Entry Level,Research Scientist,Very High Satisfaction,Married,2911,14776,1,No,13,Excellent Performance,High Satisfaction,1,2,2,Good Balance,2,2,0,2
34,No,Travel_Rarely,470,Research & Development,2,Master’s Degree,Life Sciences,Very High Satisfaction,Male,84,Moderate Involvement,Junior Level,Manufacturing Director,Low Satisfaction,Married,5957,23687,6,No,13,Excellent Performance,Moderate Satisfaction,1,13,3,Better Balance,11,9,5,9
37,No,Travel_Rarely,1017,Research & Development,1,College Graduate,Medical,High Satisfaction,Female,83,Moderate Involvement,Entry Level,Research Scientist,Low Satisfaction,Married,3920,18697,2,No,14,Excellent Performance,Low Satisfaction,1,17,2,Good Balance,3,1,0,2
45,No,Travel_Frequently,1199,Research & Development,7,Master’s Degree,Life Sciences,Low Satisfaction,Male,77,Very High Involvement,Junior Level,Manufacturing Director,High Satisfaction,Married,6434,5118,4,No,17,Excellent Performance,Very High Satisfaction,1,9,1,Better Balance,3,2,0,2
37,Yes,Travel_Frequently,504,Research & Development,10,Bachelor’s Degree,Medical,Low Satisfaction,Male,61,High Involvement,Mid Level,Manufacturing Director,High Satisfaction,Divorced,10048,22573,6,No,11,Excellent Performance,Moderate Satisfaction,2,17,5,Better Balance,1,0,0,0
39,No,Travel_Frequently,505,Research & Development,2,Master’s Degree,Technical Degree,High Satisfaction,Female,64,High Involvement,Mid Level,Healthcare Representative,High Satisfaction,Single,10938,6420,0,No,25,Outstanding Performance,Very High Satisfaction,0,20,1,Better Balance,19,6,11,8
29,No,Travel_Rarely,665,Research & Development,15,Bachelor’s Degree,Life Sciences,High Satisfaction,Male,60,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Single,2340,22673,1,No,19,Excellent Performance,Low Satisfaction,0,6,1,Better Balance,6,5,1,5
42,No,Travel_Rarely,916,Research & Development,17,College Graduate,Life Sciences,Very High Satisfaction,Female,82,Very High Involvement,Junior Level,Research Scientist,Low Satisfaction,Single,6545,23016,3,Yes,13,Excellent Performance,High Satisfaction,0,10,1,Better Balance,3,2,0,2
29,No,Travel_Rarely,1247,Sales,20,College Graduate,Marketing,Very High Satisfaction,Male,45,High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Divorced,6931,10732,2,No,14,Excellent Performance,Very High Satisfaction,1,10,2,Better Balance,3,2,0,2
25,No,Travel_Rarely,685,Research & Development,1,Bachelor’s Degree,Life Sciences,Low Satisfaction,Female,62,High Involvement,Junior Level,Manufacturing Director,High Satisfaction,Married,4898,7505,0,No,12,Excellent Performance,Very High Satisfaction,2,5,3,Better Balance,4,2,1,2
42,No,Travel_Rarely,269,Research & Development,2,Bachelor’s Degree,Medical,Very High Satisfaction,Female,56,Moderate Involvement,Entry Level,Laboratory Technician,Low Satisfaction,Divorced,2593,8007,0,Yes,11,Excellent Performance,High Satisfaction,1,10,4,Better Balance,9,6,7,8
40,No,Travel_Rarely,1416,Research & Development,2,College Graduate,Medical,Low Satisfaction,Male,49,High Involvement,Executive Level,Research Director,High Satisfaction,Divorced,19436,5949,0,No,19,Excellent Performance,Very High Satisfaction,1,22,5,Better Balance,21,7,3,9
51,No,Travel_Rarely,833,Research & Development,1,Bachelor’s Degree,Life Sciences,High Satisfaction,Male,96,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Married,2723,23231,1,No,11,Excellent Performance,Moderate Satisfaction,0,1,0,Good Balance,1,0,0,0
31,Yes,Travel_Frequently,307,Research & Development,29,College Graduate,Medical,High Satisfaction,Male,71,Moderate Involvement,Entry Level,Laboratory Technician,Moderate Satisfaction,Single,3479,11652,0,No,11,Excellent Performance,Moderate Satisfaction,0,6,2,Excellent Balance,5,4,1,4
32,No,Travel_Frequently,1311,Research & Development,7,Bachelor’s Degree,Life Sciences,Moderate Satisfaction,Male,100,Very High Involvement,Entry Level,Laboratory Technician,Moderate Satisfaction,Married,2794,26062,1,No,20,Outstanding Performance,High Satisfaction,0,5,3,Poor Balance,5,1,0,3
38,No,Non-Travel,1327,Sales,2,College Graduate,Life Sciences,Very High Satisfaction,Male,39,Moderate Involvement,Junior Level,Sales Executive,Very High Satisfaction,Married,5249,19682,3,No,18,Excellent Performance,Very High Satisfaction,1,13,0,Better Balance,8,7,7,5
32,No,Travel_Rarely,128,Research & Development,2,High School or Below,Technical Degree,Very High Satisfaction,Male,84,Moderate Involvement,Junior Level,Laboratory Technician,Low Satisfaction,Single,2176,19737,4,No,13,Excellent Performance,Very High Satisfaction,0,9,5,Better Balance,6,2,0,4
46,No,Travel_Rarely,488,Sales,2,Bachelor’s Degree,Technical Degree,High Satisfaction,Female,75,Low Involvement,Senior Level,Manager,Moderate Satisfaction,Married,16872,14977,3,Yes,12,Excellent Performance,Moderate Satisfaction,1,28,2,Good Balance,7,7,7,7
28,Yes,Travel_Rarely,529,Research & Development,2,Master’s Degree,Life Sciences,Low Satisfaction,Male,79,High Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,3485,14935,2,No,11,Excellent Performance,High Satisfaction,0,5,5,Poor Balance,0,0,0,0
29,No,Travel_Rarely,1210,Sales,2,Bachelor’s Degree,Medical,Low Satisfaction,Male,78,Moderate Involvement,Junior Level,Sales Executive,Moderate Satisfaction,Married,6644,3687,2,No,19,Excellent Performance,Moderate Satisfaction,2,10,2,Better Balance,0,0,0,0
31,No,Travel_Rarely,1463,Research & Development,23,Bachelor’s Degree,Medical,Moderate Satisfaction,Male,64,Moderate Involvement,Junior Level,Healthcare Representative,Very High Satisfaction,Married,5582,14408,0,No,21,Outstanding Performance,Moderate Satisfaction,1,10,2,Better Balance,9,0,7,8
25,No,Non-Travel,675,Research & Development,5,College Graduate,Life Sciences,Moderate Satisfaction,Male,85,Very High Involvement,Junior Level,Healthcare Representative,Low Satisfaction,Divorced,4000,18384,1,No,12,Excellent Performance,Very High Satisfaction,2,6,2,Better Balance,6,3,1,5
45,No,Travel_Rarely,1385,Research & Development,20,College Graduate,Medical,High Satisfaction,Male,79,High Involvement,Senior Level,Healthcare Representative,Very High Satisfaction,Married,13496,7501,0,Yes,14,Excellent Performance,Moderate Satisfaction,0,21,2,Better Balance,20,7,4,10
36,No,Travel_Rarely,1403,Research & Development,6,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,47,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Married,3210,20251,0,No,11,Excellent Performance,High Satisfaction,1,16,4,Better Balance,15,13,10,11
55,No,Travel_Rarely,452,Research & Development,1,Bachelor’s Degree,Medical,Very High Satisfaction,Male,81,High Involvement,Executive Level,Manager,Low Satisfaction,Single,19045,18938,0,Yes,14,Excellent Performance,High Satisfaction,0,37,2,Better Balance,36,10,4,13
47,Yes,Non-Travel,666,Research & Development,29,Master’s Degree,Life Sciences,Low Satisfaction,Male,88,High Involvement,Mid Level,Manager,Moderate Satisfaction,Married,11849,10268,1,Yes,12,Excellent Performance,Very High Satisfaction,1,10,2,Good Balance,10,7,9,9
28,No,Travel_Rarely,1158,Research & Development,9,Bachelor’s Degree,Medical,Very High Satisfaction,Male,94,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Married,2070,2613,1,No,23,Outstanding Performance,Very High Satisfaction,1,5,3,Good Balance,5,2,0,4
37,No,Travel_Rarely,228,Sales,6,Master’s Degree,Medical,High Satisfaction,Male,98,High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Married,6502,22825,4,No,14,Excellent Performance,Moderate Satisfaction,1,7,5,Excellent Balance,5,4,0,1
21,No,Travel_Rarely,996,Research & Development,3,College Graduate,Medical,Very High Satisfaction,Male,100,Moderate Involvement,Entry Level,Research Scientist,High Satisfaction,Single,3230,10531,1,No,17,Excellent Performance,Low Satisfaction,0,3,4,Excellent Balance,3,2,1,0
37,No,Non-Travel,728,Research & Development,1,Master’s Degree,Medical,Low Satisfaction,Female,80,High Involvement,Mid Level,Research Director,Very High Satisfaction,Divorced,13603,11677,2,Yes,18,Excellent Performance,Low Satisfaction,2,15,2,Better Balance,5,2,0,2
35,No,Travel_Rarely,1315,Research & Development,22,Bachelor’s Degree,Life Sciences,Moderate Satisfaction,Female,71,Very High Involvement,Mid Level,Manager,Moderate Satisfaction,Divorced,11996,19100,7,No,18,Excellent Performance,Moderate Satisfaction,1,10,6,Good Balance,7,7,6,2
38,No,Travel_Rarely,322,Sales,7,College Graduate,Medical,Low Satisfaction,Female,44,Very High Involvement,Junior Level,Sales Executive,Low Satisfaction,Divorced,5605,19191,1,Yes,24,Outstanding Performance,High Satisfaction,1,8,3,Better Balance,8,0,7,7
26,No,Travel_Frequently,1479,Research & Development,1,Bachelor’s Degree,Life Sciences,High Satisfaction,Female,84,High Involvement,Junior Level,Manufacturing Director,Moderate Satisfaction,Divorced,6397,26767,1,No,20,Outstanding Performance,Low Satisfaction,1,6,6,Poor Balance,6,5,1,4
50,No,Travel_Rarely,797,Research & Development,4,High School or Below,Life Sciences,Low Satisfaction,Male,96,High Involvement,Executive Level,Research Director,Moderate Satisfaction,Divorced,19144,15815,3,No,14,Excellent Performance,Low Satisfaction,2,28,4,Good Balance,10,4,1,6
53,No,Travel_Rarely,1070,Research & Development,3,Master’s Degree,Medical,High Satisfaction,Male,45,High Involvement,Senior Level,Research Director,High Satisfaction,Married,17584,21016,3,Yes,16,Excellent Performance,Very High Satisfaction,3,21,5,Good Balance,5,3,1,3
42,No,Travel_Rarely,635,Sales,1,High School or Below,Life Sciences,Moderate Satisfaction,Male,99,High Involvement,Junior Level,Sales Executive,High Satisfaction,Married,4907,24532,1,No,25,Outstanding Performance,High Satisfaction,0,20,3,Better Balance,20,16,11,6
29,No,Travel_Frequently,442,Sales,2,College Graduate,Life Sciences,Moderate Satisfaction,Male,44,High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Single,4554,20260,1,No,18,Excellent Performance,Low Satisfaction,0,10,3,Good Balance,10,7,0,9
55,No,Travel_Rarely,147,Research & Development,20,College Graduate,Technical Degree,Moderate Satisfaction,Male,37,High Involvement,Junior Level,Laboratory Technician,Very High Satisfaction,Married,5415,15972,3,Yes,19,Excellent Performance,Very High Satisfaction,1,12,4,Better Balance,10,7,0,8
26,No,Travel_Frequently,496,Research & Development,11,College Graduate,Medical,Low Satisfaction,Male,60,High Involvement,Junior Level,Healthcare Representative,Low Satisfaction,Married,4741,22722,1,Yes,13,Excellent Performance,High Satisfaction,1,5,3,Better Balance,5,3,3,3
37,No,Travel_Rarely,1372,Research & Development,1,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Female,42,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Single,2115,15881,1,No,12,Excellent Performance,Moderate Satisfaction,0,17,3,Better Balance,17,12,5,7
44,Yes,Travel_Frequently,920,Research & Development,24,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,43,High Involvement,Entry Level,Laboratory Technician,High Satisfaction,Divorced,3161,19920,3,Yes,22,Outstanding Performance,Very High Satisfaction,1,19,0,Poor Balance,1,0,0,0
38,No,Travel_Rarely,688,Research & Development,23,Master’s Degree,Life Sciences,Very High Satisfaction,Male,82,High Involvement,Junior Level,Healthcare Representative,Very High Satisfaction,Divorced,5745,18899,9,No,14,Excellent Performance,Moderate Satisfaction,1,10,2,Better Balance,2,2,1,2
26,Yes,Travel_Rarely,1449,Research & Development,16,Master’s Degree,Medical,Low Satisfaction,Male,45,High Involvement,Entry Level,Laboratory Technician,Moderate Satisfaction,Divorced,2373,14180,2,Yes,13,Excellent Performance,Very High Satisfaction,1,5,2,Better Balance,3,2,0,2
28,No,Travel_Rarely,1117,Research & Development,8,College Graduate,Life Sciences,Very High Satisfaction,Female,66,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Single,3310,4488,1,No,21,Outstanding Performance,Very High Satisfaction,0,5,3,Better Balance,5,3,0,2
49,No,Travel_Frequently,636,Research & Development,10,Master’s Degree,Life Sciences,High Satisfaction,Female,35,High Involvement,Executive Level,Research Director,Low Satisfaction,Single,18665,25594,9,Yes,11,Excellent Performance,Very High Satisfaction,0,22,4,Better Balance,3,2,1,2
36,No,Travel_Rarely,506,Research & Development,3,Bachelor’s Degree,Technical Degree,High Satisfaction,Male,30,High Involvement,Junior Level,Research Scientist,Moderate Satisfaction,Single,4485,26285,4,No,12,Excellent Performance,Very High Satisfaction,0,10,2,Better Balance,8,0,7,7
31,No,Travel_Frequently,444,Sales,5,Bachelor’s Degree,Marketing,Very High Satisfaction,Female,84,High Involvement,Entry Level,Sales Representative,Moderate Satisfaction,Divorced,2789,3909,1,No,11,Excellent Performance,High Satisfaction,1,2,5,Good Balance,2,2,2,2
26,Yes,Travel_Rarely,950,Sales,4,Master’s Degree,Marketing,Very High Satisfaction,Male,48,Moderate Involvement,Junior Level,Sales Executive,Very High Satisfaction,Single,5828,8450,1,Yes,12,Excellent Performance,Moderate Satisfaction,0,8,0,Better Balance,8,7,7,4
37,No,Travel_Frequently,889,Research & Development,9,Bachelor’s Degree,Medical,Moderate Satisfaction,Male,53,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Married,2326,11411,1,Yes,12,Excellent Performance,High Satisfaction,3,4,3,Good Balance,4,2,1,2
42,No,Travel_Frequently,555,Sales,26,Bachelor’s Degree,Marketing,High Satisfaction,Female,77,High Involvement,Senior Level,Sales Executive,Moderate Satisfaction,Married,13525,14864,5,No,14,Excellent Performance,Very High Satisfaction,1,23,2,Excellent Balance,20,4,4,8
18,Yes,Travel_Rarely,230,Research & Development,3,Bachelor’s Degree,Life Sciences,High Satisfaction,Male,54,High Involvement,Entry Level,Laboratory Technician,High Satisfaction,Single,1420,25233,1,No,13,Excellent Performance,High Satisfaction,0,0,2,Better Balance,0,0,0,0
35,No,Travel_Rarely,1232,Sales,16,Bachelor’s Degree,Marketing,High Satisfaction,Male,96,High Involvement,Mid Level,Sales Executive,Moderate Satisfaction,Married,8020,5100,0,No,15,Excellent Performance,High Satisfaction,2,12,3,Good Balance,11,9,6,9
36,No,Travel_Frequently,566,Research & Development,18,Master’s Degree,Life Sciences,High Satisfaction,Male,81,Very High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Married,3688,7122,4,No,18,Excellent Performance,Very High Satisfaction,2,4,2,Better Balance,1,0,0,0
51,No,Travel_Rarely,1302,Research & Development,2,Bachelor’s Degree,Medical,Very High Satisfaction,Male,84,Low Involvement,Junior Level,Manufacturing Director,Moderate Satisfaction,Divorced,5482,16321,5,No,18,Excellent Performance,Very High Satisfaction,1,13,3,Better Balance,4,1,1,2
41,No,Travel_Rarely,334,Sales,2,Master’s Degree,Life Sciences,Very High Satisfaction,Male,88,High Involvement,Senior Level,Manager,Moderate Satisfaction,Single,16015,15896,1,No,19,Excellent Performance,Moderate Satisfaction,0,22,2,Better Balance,22,10,0,4
18,No,Travel_Rarely,812,Sales,10,Bachelor’s Degree,Medical,Very High Satisfaction,Female,69,Moderate Involvement,Entry Level,Sales Representative,High Satisfaction,Single,1200,9724,1,No,12,Excellent Performance,Low Satisfaction,0,0,2,Better Balance,0,0,0,0
28,No,Travel_Rarely,1476,Research & Development,16,College Graduate,Medical,Moderate Satisfaction,Male,68,Very High Involvement,Junior Level,Healthcare Representative,Low Satisfaction,Single,5661,4824,0,No,19,Excellent Performance,High Satisfaction,0,9,2,Better Balance,8,3,0,7
31,No,Travel_Rarely,218,Sales,7,Bachelor’s Degree,Technical Degree,Moderate Satisfaction,Male,100,Very High Involvement,Junior Level,Sales Executive,Very High Satisfaction,Married,6929,12241,4,No,11,Excellent Performance,Moderate Satisfaction,1,10,3,Good Balance,8,7,7,7
39,No,Travel_Rarely,1132,Research & Development,1,Bachelor’s Degree,Medical,High Satisfaction,Male,48,Very High Involvement,Mid Level,Healthcare Representative,Very High Satisfaction,Divorced,9613,10942,0,No,17,Excellent Performance,Low Satisfaction,3,19,5,Good Balance,18,10,3,7
36,No,Non-Travel,1105,Research & Development,24,Master’s Degree,Life Sciences,Moderate Satisfaction,Female,47,High Involvement,Junior Level,Laboratory Technician,Moderate Satisfaction,Married,5674,6927,7,No,15,Excellent Performance,High Satisfaction,1,11,3,Better Balance,9,8,0,8
32,No,Travel_Rarely,906,Sales,7,Bachelor’s Degree,Life Sciences,Very High Satisfaction,Male,91,Moderate Involvement,Junior Level,Sales Executive,High Satisfaction,Married,5484,16985,1,No,14,Excellent Performance,High Satisfaction,1,13,3,Good Balance,13,8,4,8
38,No,Travel_Rarely,849,Research & Development,25,College Graduate,Life Sciences,Low Satisfaction,Female,81,Moderate Involvement,Mid Level,Research Director,Moderate Satisfaction,Married,12061,26707,3,No,17,Excellent Performance,High Satisfaction,1,19,2,Better Balance,10,8,0,1
58,No,Non-Travel,390,Research & Development,1,Master’s Degree,Life Sciences,Very High Satisfaction,Male,32,Low Involvement,Junior Level,Healthcare Representative,High Satisfaction,Divorced,5660,17056,2,Yes,13,Excellent Performance,Very High Satisfaction,1,12,2,Better Balance,5,3,1,2
31,No,Travel_Rarely,691,Research & Development,5,Master’s Degree,Technical Degree,High Satisfaction,Male,86,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Married,4821,10077,0,Yes,12,Excellent Performance,High Satisfaction,1,6,4,Better Balance,5,2,0,3
31,No,Travel_Rarely,106,Human Resources,2,Bachelor’s Degree,Human Resources,Low Satisfaction,Male,62,Moderate Involvement,Junior Level,Human Resources,Low Satisfaction,Married,6410,17822,3,No,12,Excellent Performance,Very High Satisfaction,0,9,1,Better Balance,2,2,1,0
45,No,Travel_Frequently,1249,Research & Development,7,Bachelor’s Degree,Life Sciences,Low Satisfaction,Male,97,High Involvement,Mid Level,Laboratory Technician,Low Satisfaction,Divorced,5210,20308,1,No,18,Excellent Performance,Low Satisfaction,1,24,2,Better Balance,24,9,9,11
31,No,Travel_Rarely,192,Research & Development,2,Master’s Degree,Life Sciences,High Satisfaction,Male,32,High Involvement,Entry Level,Research Scientist,Very High Satisfaction,Divorced,2695,7747,0,Yes,18,Excellent Performance,Moderate Satisfaction,1,3,2,Poor Balance,2,2,2,2
33,No,Travel_Frequently,553,Research & Development,5,Master’s Degree,Life Sciences,Very High Satisfaction,Female,74,High Involvement,Mid Level,Manager,Moderate Satisfaction,Married,11878,23364,6,No,11,Excellent Performance,Moderate Satisfaction,2,12,2,Better Balance,10,6,8,8
39,No,Travel_Rarely,117,Research & Development,10,High School or Below,Medical,High Satisfaction,Male,99,High Involvement,Senior Level,Manager,Low Satisfaction,Married,17068,5355,1,Yes,14,Excellent Performance,Very High Satisfaction,0,21,3,Better Balance,21,9,11,10
43,No,Travel_Frequently,185,Research & Development,10,Master’s Degree,Life Sciences,High Satisfaction,Female,33,High Involvement,Entry Level,Laboratory Technician,Very High Satisfaction,Single,2455,10675,0,No,19,Excellent Performance,Low Satisfaction,0,9,5,Better Balance,8,7,1,7
49,No,Travel_Rarely,1091,Research & Development,1,College Graduate,Technical Degree,High Satisfaction,Female,90,Moderate Involvement,Senior Level,Healthcare Representative,High Satisfaction,Single,13964,17810,7,Yes,12,Excellent Performance,Very High Satisfaction,0,25,2,Better Balance,7,1,0,7
52,Yes,Travel_Rarely,723,Research & Development,8,Master’s Degree,Medical,High Satisfaction,Male,85,Moderate Involvement,Junior Level,Research Scientist,Moderate Satisfaction,Married,4941,17747,2,No,15,Excellent Performance,Low Satisfaction,0,11,3,Good Balance,8,2,7,7
27,No,Travel_Rarely,1220,Research & Development,5,Bachelor’s Degree,Life Sciences,High Satisfaction,Female,85,High Involvement,Entry Level,Research Scientist,Moderate Satisfaction,Single,2478,20938,1,Yes,12,Excellent Performance,Moderate Satisfaction,0,4,2,Good Balance,4,3,1,2
